256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748428	195386	76748428	195386
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748428	195386	76748428	195386
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748422	195385	76748428	195385
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748428	195386	76748428	195386
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748428	195386	76748422	195386
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748428	195386	76748422	195386
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748428	195386	76748428	195386
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748428	195386	76748422	195386
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748428	195386	76748428	195386
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
256	16925023	74385	16925023	74385
272	20665401	83893	20665401	83893
288	25396224	93977	25396224	93977
304	31367657	104637	31367657	104637
320	33865878	115873	33865878	115873
336	42458389	127685	42458389	127685
352	46446118	140073	46446118	140073
368	55894915	153037	55894915	153037
384	57608093	166577	57608093	166577
400	71900772	180693	71900772	180693
416	76748428	195386	76748428	195386
432	90701006	210654	90701006	210654
448	92998655	226501	92998655	226501
464	112520014	242921	112520014	242921
480	117987230	259917	117987230	259917
496	137582042	277489	137582042	277489
512	134833832	295637	134833832	295637
