2000 	2780 	12689479 	2778 	8811931
2064 	2784 	13513650 	2778 	9383820
2128 	2781 	14363872 	2780 	9973744
2192 	2780 	15239964 	2783 	10581661
2256 	2785 	16106496 	2784 	11171987
2320 	2780 	16996929 	2781 	11778356
2384 	2780 	17948841 	2781 	12438162
2448 	2779 	18963189 	2780 	13154790
2512 	2778 	20006502 	2781 	13890032
2576 	2778 	21038145 	2778 	14605841
2640 	2778 	22095860 	2780 	15339684
2704 	2780 	23179388 	2778 	16091493
2768 	2781 	24245352 	2781 	16817677
2832 	2781 	25335167 	2784 	17559884
2896 	2763 	26494604 	2778 	18363643
2960 	2764 	27724036 	2781 	19232279
3024 	2762 	28982681 	2783 	20119259
