512	413698111	288743292	168361312 34308259	168243563	34181984
528	216112053	81787579	184532457 37487210	184500365	37466596
544	244472350	97412873	201840398 40996653	201771951	40955176
560	257687491	96902993	220128054 44676258	220089041	44653868
576	309895456	134542706	239596241 48657740	239482355	48568816
592	304221931	113729274	260023982 52735063	259982613	52706164
608	340832804	134373121	281696608 57129359	281620535	57072056
624	355986578	132357236	304470437 61703182	304426841	61672636
640	479031077	236618206	328636283 66757348	328432251	66514048
656	413260339	152906371	353714913 71639938	353667485	71602436
672	459497494	179508736	380266443 77019712	380163263	76943944
688	476349431	175441825	408007762 82584845	407950305	82544716
704	564183955	241244474	437237461 88571673	437059331	88410896
