512	15.472333	14.103802	16.169051 14.378884	24.647601	18.005846
528	15.942192	15.185683	16.974705 15.678900	25.943958	19.857616
544	17.609483	16.728057	18.710694 17.194698	28.296800	21.637422
560	19.156629	18.103441	20.215884 18.763106	30.827176	23.567198
576	21.336065	19.908263	22.726353 20.403498	34.673286	25.919988
592	23.323025	21.605679	23.959377 22.155180	36.557587	27.806978
608	24.793036	23.184519	26.489477 23.930740	40.159627	30.362689
624	26.572618	25.274126	28.175617 25.876026	42.990761	32.519173
640	30.031674	27.422137	31.591084 28.000905	47.838592	35.116194
656	31.066503	29.093345	33.030199 30.100713	49.881837	37.759574
672	33.726582	31.283404	35.865582 32.477777	54.433863	40.618284
688	35.959826	33.559292	38.170737 34.621364	58.007634	43.580154
704	39.964666	36.021483	42.147229 37.165403	63.784047	46.766823
720	41.357477	38.546554	43.857614 39.863736	66.925772	49.976429
736	44.401554	41.139856	47.281713 42.490986	71.624357	53.465900
752	47.213924	43.978046	50.267446 45.305571	75.827709	57.025938
768	53.199939	47.155041	55.902395 48.317021	84.210907	60.729075
